[2021-09-02 00:34:53,331] A: 020006_002, B: 020006_002_1 | MSE | 2.04266198476 | PSNR | 45.028838543911675 | SSMI | 0.98215156083 | Delta_E | 0.451533311675
[2021-09-02 00:34:54,636] A: 020006_003, B: 020006_003_1 | MSE | 8.70626894633 | PSNR | 38.73248281999799 | SSMI | 0.956795670534 | Delta_E | 0.516126464289
[2021-09-02 00:34:55,930] A: 020006_004, B: 020006_004_1 | MSE | 2.10844039917 | PSNR | 44.89119031863939 | SSMI | 0.981249922334 | Delta_E | 0.45336567391
[2021-09-02 00:34:57,234] A: 020007_001, B: 020007_001_1 | MSE | 2.54987239838 | PSNR | 44.06561913009465 | SSMI | 0.979422160713 | Delta_E | 0.270077416694
[2021-09-02 00:34:58,532] A: 020007_002, B: 020007_002_1 | MSE | 3.07893975576 | PSNR | 43.24679169528202 | SSMI | 0.976128466449 | Delta_E | 0.335868178568
[2021-09-02 00:34:59,831] A: 020007_003, B: 020007_003_1 | MSE | 2.38955688477 | PSNR | 44.34762987259995 | SSMI | 0.972938921338 | Delta_E | 0.376580868627
[2021-09-02 00:35:01,135] A: 020007_004, B: 020007_004_1 | MSE | 2.64328225454 | PSNR | 43.90936820497111 | SSMI | 0.974802504585 | Delta_E | 0.361544052654
[2021-09-02 00:35:02,438] A: 020008_001, B: 020008_001_1 | MSE | 7.43233044942 | PSNR | 39.419553502523186 | SSMI | 0.980803708098 | Delta_E | 0.620912155525
[2021-09-02 00:35:03,745] A: 020008_002, B: 020008_002_1 | MSE | 9.56960805257 | PSNR | 38.32186210352425 | SSMI | 0.977064083351 | Delta_E | 0.669268439818
[2021-09-02 00:35:05,055] A: 020008_003, B: 020008_003_1 | MSE | 8.36123466492 | PSNR | 38.90809948432625 | SSMI | 0.9778463319 | Delta_E | 0.665361008393
[2021-09-02 00:35:06,361] A: 020008_004, B: 020008_004_1 | MSE | 7.83710892995 | PSNR | 39.189244776895904 | SSMI | 0.97677312257 | Delta_E | 0.599393888007
[2021-09-02 00:35:07,654] A: 020009_001, B: 020009_001_1 | MSE | 2.49019463857 | PSNR | 44.168470671242375 | SSMI | 0.98983501853 | Delta_E | 0.403090776264
[2021-09-02 00:35:08,947] A: 020009_002, B: 020009_002_1 | MSE | 0.914745012919 | PSNR | 48.51780310424615 | SSMI | 0.991674166758 | Delta_E | 0.341829864105
[2021-09-02 00:35:10,244] A: 020009_003, B: 020009_003_1 | MSE | 3.75452868144 | PSNR | 42.385249345472424 | SSMI | 0.988327046924 | Delta_E | 0.344266297087
[2021-09-02 00:35:11,539] A: 020009_004, B: 020009_004_1 | MSE | 2.9354022344 | PSNR | 43.45412740391897 | SSMI | 0.989344128928 | Delta_E | 0.433969787699
[2021-09-02 00:35:12,831] A: 020010_001, B: 020010_001_1 | MSE | 1.46489651998 | PSNR | 46.4727341357672 | SSMI | 0.992659348216 | Delta_E | 0.297940363653
[2021-09-02 00:35:14,122] A: 020010_002, B: 020010_002_1 | MSE | 1.25914891561 | PSNR | 47.130032650709 | SSMI | 0.99249200167 | Delta_E | 0.31387520583
[2021-09-02 00:35:15,419] A: 020010_003, B: 020010_003_1 | MSE | 2.73515160878 | PSNR | 43.76098956694303 | SSMI | 0.991557669008 | Delta_E | 0.355300642242
[2021-09-02 00:35:16,715] A: 020010_004, B: 020010_004_1 | MSE | 1.4413356781 | PSNR | 46.543152237947474 | SSMI | 0.993664113015 | Delta_E | 0.243428630653
[2021-09-02 00:35:18,018] A: 020011_001, B: 020011_001_1 | MSE | 5.29707018534 | PSNR | 40.8904463356089 | SSMI | 0.974175930328 | Delta_E | 0.503443729719
[2021-09-02 00:35:19,319] A: 020011_002, B: 020011_002_1 | MSE | 2.20792039235 | PSNR | 44.69096950227643 | SSMI | 0.979954610767 | Delta_E | 0.457834068166
[2021-09-02 00:35:20,624] A: 020011_003, B: 020011_003_1 | MSE | 4.49817466736 | PSNR | 41.60044045473697 | SSMI | 0.974888065689 | Delta_E | 0.477452531117
[2021-09-02 00:35:21,930] A: 020011_004, B: 020011_004_1 | MSE | 2.69554964701 | PSNR | 43.82433025732609 | SSMI | 0.979899444966 | Delta_E | 0.471726447873
[2021-09-02 00:35:23,231] A: 020012_001, B: 020012_001_1 | MSE | 11.8788286845 | PSNR | 37.383067418508716 | SSMI | 0.959048634344 | Delta_E | 0.859986409646
[2021-09-02 00:35:24,542] A: 020012_002, B: 020012_002_1 | MSE | 10.8820435206 | PSNR | 37.76369902418519 | SSMI | 0.96009632726 | Delta_E | 0.812720912038
[2021-09-02 00:35:25,854] A: 020012_003, B: 020012_003_1 | MSE | 14.7735404968 | PSNR | 36.43595773885409 | SSMI | 0.948320161653 | Delta_E | 0.949325255301
[2021-09-02 00:35:27,165] A: 020012_004, B: 020012_004_1 | MSE | 11.2781442006 | PSNR | 37.60842717756635 | SSMI | 0.957159934565 | Delta_E | 0.815483761897
[2021-09-02 00:35:28,479] A: 020013_001, B: 020013_001_1 | MSE | 1.96575164795 | PSNR | 45.19551712447223 | SSMI | 0.992538548371 | Delta_E | 0.295533690806
[2021-09-02 00:35:29,781] A: 020013_002, B: 020013_002_1 | MSE | 2.49786599477 | PSNR | 44.15511225185448 | SSMI | 0.993534324375 | Delta_E | 0.250364173065
[2021-09-02 00:35:31,076] A: 020013_003, B: 020013_003_1 | MSE | 2.24883715312 | PSNR | 44.61122353215008 | SSMI | 0.992424584852 | Delta_E | 0.304316838701
[2021-09-02 00:35:32,377] A: 020013_004, B: 020013_004_1 | MSE | 1.23831526438 | PSNR | 47.20249134478 | SSMI | 0.992674329734 | Delta_E | 0.307418856233
[2021-09-02 00:35:33,682] A: 020014_001, B: 020014_001_1 | MSE | 5.47237809499 | PSNR | 40.74904265047746 | SSMI | 0.978720599394 | Delta_E | 0.506375108901
[2021-09-02 00:35:34,986] A: 020014_002, B: 020014_002_1 | MSE | 4.16337776184 | PSNR | 41.93634542717195 | SSMI | 0.979290769815 | Delta_E | 0.503173765031
[2021-09-02 00:35:36,290] A: 020014_003, B: 020014_003_1 | MSE | 5.84071318309 | PSNR | 40.466144807815844 | SSMI | 0.976218898968 | Delta_E | 0.498798654047
[2021-09-02 00:35:37,595] A: 020014_004, B: 020014_004_1 | MSE | 3.07900079091 | PSNR | 43.24670560405927 | SSMI | 0.981773784044 | Delta_E | 0.411442084944
[2021-09-02 00:35:38,907] A: 020015_001, B: 020015_001_1 | MSE | 13.4209082921 | PSNR | 36.8529845212037 | SSMI | 0.954827840816 | Delta_E | 0.79756013748
[2021-09-02 00:35:40,219] A: 020015_002, B: 020015_002_1 | MSE | 8.55636469523 | PSNR | 38.807910737773256 | SSMI | 0.96129136508 | Delta_E | 0.584256586058
[2021-09-02 00:35:41,538] A: 020015_003, B: 020015_003_1 | MSE | 11.8035634359 | PSNR | 37.4106722246779 | SSMI | 0.94979879894 | Delta_E | 0.664387752234
[2021-09-02 00:35:42,857] A: 020015_004, B: 020015_004_1 | MSE | 6.94305674235 | PSNR | 39.715296463114996 | SSMI | 0.971957116576 | Delta_E | 0.553973850841
[2021-09-02 00:35:44,166] A: 020016_001, B: 020016_001_1 | MSE | 7.54002126058 | PSNR | 39.35707790417326 | SSMI | 0.969397397735 | Delta_E | 0.593107855124
[2021-09-02 00:35:45,474] A: 020016_002, B: 020016_002_1 | MSE | 5.43155733744 | PSNR | 40.78155992404647 | SSMI | 0.972577087936 | Delta_E | 0.474374930289
[2021-09-02 00:35:46,781] A: 020016_003, B: 020016_003_1 | MSE | 2.51263904572 | PSNR | 44.129502565623454 | SSMI | 0.982030245054 | Delta_E | 0.459135633752
[2021-09-02 00:35:48,121] A: 020016_004, B: 020016_004_1 | MSE | 3.73896980286 | PSNR | 42.403284032038684 | SSMI | 0.978803591534 | Delta_E | 0.484846796088
[2021-09-02 00:35:49,468] A: 020017_001, B: 020017_001_1 | MSE | 19.3588857651 | PSNR | 35.262000037635595 | SSMI | 0.930961313283 | Delta_E | 0.872301909125
[2021-09-02 00:35:50,799] A: 020017_002, B: 020017_002_1 | MSE | 11.7249794006 | PSNR | 37.43968272482795 | SSMI | 0.950413102379 | Delta_E | 0.670389739544
