[2021-09-01 20:20:59,821] A: 020001_001, B: 020001_001_700001 | MSE | 0.806461334229 | PSNR | 49.06496810883465 | SSMI | 0.996860407934 | Delta_E | 0.130958184072
[2021-09-01 20:21:01,648] A: 020001_002, B: 020001_002_700001 | MSE | 0.087474822998 | PSNR | 58.71197288490323 | SSMI | 0.998581472143 | Delta_E | 0.0567671715383
[2021-09-01 20:21:03,465] A: 020001_003, B: 020001_003_700001 | MSE | 0.0847854614258 | PSNR | 58.84758972807836 | SSMI | 0.998630617259 | Delta_E | 0.0557166792773
[2021-09-01 20:21:05,281] A: 020001_004, B: 020001_004_700001 | MSE | 0.0875371297201 | PSNR | 58.70888058563163 | SSMI | 0.998579406055 | Delta_E | 0.0574965500283
[2021-09-01 20:21:07,093] A: 020001_005, B: 020001_005_700001 | MSE | 1.07593027751 | PSNR | 47.81296231800803 | SSMI | 0.996348660088 | Delta_E | 0.146648322764
[2021-09-01 20:21:08,901] A: 020001_006, B: 020001_006_700001 | MSE | 0.087771097819 | PSNR | 58.69728830430237 | SSMI | 0.998572498476 | Delta_E | 0.0570379587879
[2021-09-01 20:21:10,714] A: 020001_007, B: 020001_007_700001 | MSE | 0.0898818969727 | PSNR | 58.594081311655096 | SSMI | 0.998535513111 | Delta_E | 0.0578777499448
[2021-09-01 20:21:12,521] A: 020001_008, B: 020001_008_700001 | MSE | 0.0913569132487 | PSNR | 58.523389435837444 | SSMI | 0.998517597331 | Delta_E | 0.0591509882043
[2021-09-01 20:21:14,339] A: 020001_009, B: 020001_009_700001 | MSE | 3.22954177856 | PSNR | 43.039394537559986 | SSMI | 0.991320097639 | Delta_E | 0.320655735249
[2021-09-01 20:21:16,156] A: 020001_010, B: 020001_010_700001 | MSE | 1.86688613892 | PSNR | 45.41962529661412 | SSMI | 0.994056676823 | Delta_E | 0.21580126336
[2021-09-01 20:21:17,967] A: 020001_011, B: 020001_011_700001 | MSE | 1.56585566203 | PSNR | 46.183286338444475 | SSMI | 0.994667716421 | Delta_E | 0.1975071367
[2021-09-01 20:21:19,818] A: 020001_012, B: 020001_012_700001 | MSE | 1.18499755859 | PSNR | 47.393629052815804 | SSMI | 0.995276534545 | Delta_E | 0.166239116867
[2021-09-01 20:21:21,693] A: 020001_013, B: 020001_013_700001 | MSE | 2.54451878866 | PSNR | 44.074746988284446 | SSMI | 0.991242155325 | Delta_E | 0.278601636144
