[2021-09-02 22:17:37,487] A: 025950, B: 025950_870001 | MSE | 30.0650363763 | PSNR | 33.350186272240826 | SSIM | 0.906314318422 | Delta_E | 0.98923726559
[2021-09-02 22:17:37,487] A: 025951, B: 025951_870001 | MSE | 4.94422094027 | PSNR | 41.18982491223028 | SSIM | 0.966225325908 | Delta_E | 0.425512454587
[2021-09-02 22:17:37,487] A: 025952, B: 025952_870001 | MSE | 2.5840883255 | PSNR | 44.00773006876947 | SSIM | 0.9899468828 | Delta_E | 0.390478904054
[2021-09-02 22:17:37,487] A: 025953, B: 025953_870001 | MSE | 17.1443217595 | PSNR | 35.78960052047727 | SSIM | 0.948631639123 | Delta_E | 0.778228569515
[2021-09-02 22:17:37,487] A: 025954, B: 025954_870001 | MSE | 13.1872164408 | PSNR | 36.92927226577153 | SSIM | 0.960811214299 | Delta_E | 0.747336835794
[2021-09-02 22:17:37,487] A: 025955, B: 025955_870001 | MSE | 10.2582241694 | PSNR | 38.02008175547862 | SSIM | 0.964617660909 | Delta_E | 0.725627136077
[2021-09-02 22:17:37,487] A: 025956, B: 025956_870001 | MSE | 21.8015649319 | PSNR | 34.7459269217696 | SSIM | 0.89656074676 | Delta_E | 0.784955023076
[2021-09-02 22:17:37,487] A: 025957, B: 025957_870001 | MSE | 7.12692189217 | PSNR | 39.60178361715565 | SSIM | 0.9716230408 | Delta_E | 0.515852943441
[2021-09-02 22:17:37,487] A: 025958, B: 025958_870001 | MSE | 27.0182614326 | PSNR | 33.81422961204102 | SSIM | 0.87721028837 | Delta_E | 0.918858740438
[2021-09-02 22:17:37,487] A: 025959, B: 025959_870001 | MSE | 22.1628041267 | PSNR | 34.67455652657875 | SSIM | 0.906358738571 | Delta_E | 1.06037779139
[2021-09-02 22:17:37,487] A: 025960, B: 025960_870001 | MSE | 35.7407183647 | PSNR | 32.599170835797445 | SSIM | 0.844506914201 | Delta_E | 1.0544215987
[2021-09-02 22:17:37,487] A: 025961, B: 025961_870001 | MSE | 32.144895951 | PSNR | 33.05968336525573 | SSIM | 0.860933429039 | Delta_E | 0.982301381991
[2021-09-02 22:17:37,487] A: 025962, B: 025962_870001 | MSE | 52.1225837866 | PSNR | 30.960544247316236 | SSIM | 0.812732715751 | Delta_E | 1.59188678754
[2021-09-02 22:17:37,487] A: 025963, B: 025963_870001 | MSE | 45.8186510404 | PSNR | 31.5203806201053 | SSIM | 0.842246336335 | Delta_E | 1.29354487642
[2021-09-02 22:17:37,487] A: 025964, B: 025964_870001 | MSE | 24.0230944951 | PSNR | 34.32451411273078 | SSIM | 0.933718127046 | Delta_E | 1.12208741921
[2021-09-02 22:17:37,487] A: 025965, B: 025965_870001 | MSE | 33.7602109114 | PSNR | 32.84675209721599 | SSIM | 0.931190645375 | Delta_E | 1.44707823203
[2021-09-02 22:17:37,487] A: 025966, B: 025966_870001 | MSE | 23.3652145068 | PSNR | 34.44510588403557 | SSIM | 0.953029402097 | Delta_E | 1.13464752136
[2021-09-02 22:17:37,487] A: 025967, B: 025967_870001 | MSE | 40.7483289242 | PSNR | 32.02970557703297 | SSIM | 0.886191289541 | Delta_E | 1.28113984418
[2021-09-02 22:17:37,488] A: 025968, B: 025968_870001 | MSE | 14.4603762627 | PSNR | 36.529007673096004 | SSIM | 0.953999416595 | Delta_E | 0.741843444036
