[2021-07-30 14:31:56,821] A: 090001.jpg, B: 090001.jpg | MSE | 138.433702257 | PSNR | 26.71838527088277 | SSMI | 0.845537438649 | Delta_E | 6.59755886817
[2021-07-30 14:31:56,829] A: 090002.jpg, B: 090002.jpg | MSE | 128.616102431 | PSNR | 27.03785016238094 | SSMI | 0.843129456897 | Delta_E | 5.94632087238
[2021-07-30 14:31:56,838] A: 090003.jpg, B: 090003.jpg | MSE | 64.8570601852 | PSNR | 30.011231016109342 | SSMI | 0.909213975948 | Delta_E | 4.39346807537
[2021-07-30 14:31:56,846] A: 090004.jpg, B: 090004.jpg | MSE | 117.356662326 | PSNR | 27.43572611377641 | SSMI | 0.840412760794 | Delta_E | 6.02636186906
[2021-07-30 14:31:56,853] A: 090005.jpg, B: 090005.jpg | MSE | 60.2803096065 | PSNR | 30.329048866340557 | SSMI | 0.913534305851 | Delta_E | 4.20285258762
[2021-07-30 14:31:56,861] A: 090006.jpg, B: 090006.jpg | MSE | 118.046079282 | PSNR | 27.410287936318372 | SSMI | 0.835814418272 | Delta_E | 6.13330079141
[2021-07-30 14:31:56,869] A: 090007.jpg, B: 090007.jpg | MSE | 39.7158564815 | PSNR | 32.141164282221965 | SSMI | 0.930662658505 | Delta_E | 3.57575005159
[2021-07-30 14:31:56,877] A: 090008.jpg, B: 090008.jpg | MSE | 260.616319444 | PSNR | 23.970787537017735 | SSMI | 0.812218547899 | Delta_E | 7.23290354243
[2021-07-30 14:31:56,885] A: 090009.jpg, B: 090009.jpg | MSE | 43.6910807292 | PSNR | 31.726875734504326 | SSMI | 0.934828484796 | Delta_E | 3.85914603137
[2021-07-30 14:31:56,892] A: 090010.jpg, B: 090010.jpg | MSE | 149.274414063 | PSNR | 26.390949857196524 | SSMI | 0.832803511378 | Delta_E | 6.29169965109
[2021-07-30 14:31:56,900] A: 090011.jpg, B: 090011.jpg | MSE | 187.661024306 | PSNR | 25.397062783728174 | SSMI | 0.783717235935 | Delta_E | 6.11204421616
