[2021-09-02 01:47:00,271] A: 020037, B: 020037_870001 | MSE | 29.1524970531 | PSNR | 33.484046007452044 | SSMI | 0.864032984344 | Delta_E | 0.983930531156
[2021-09-02 01:47:05,640] A: 020038, B: 020038_870001 | MSE | 9.61416776975 | PSNR | 38.301686644565066 | SSMI | 0.958542787198 | Delta_E | 0.608487229184
[2021-09-02 01:47:11,014] A: 020039, B: 020039_870001 | MSE | 24.0591330528 | PSNR | 34.31800386956242 | SSMI | 0.897209068223 | Delta_E | 1.01366653926
[2021-09-02 01:47:16,419] A: 020040, B: 020040_870001 | MSE | 12.0609300931 | PSNR | 37.316995606310705 | SSMI | 0.949093656821 | Delta_E | 0.677943045386
[2021-09-02 01:47:21,798] A: 020041, B: 020041_870001 | MSE | 8.49463772774 | PSNR | 38.83935498698683 | SSMI | 0.959714330159 | Delta_E | 0.606182799675
[2021-09-02 01:47:27,158] A: 020042, B: 020042_870001 | MSE | 14.9044454098 | PSNR | 36.397645401742395 | SSMI | 0.929398359702 | Delta_E | 0.791823643719
[2021-09-02 01:47:32,530] A: 020043, B: 020043_870001 | MSE | 10.3039615949 | PSNR | 38.00076129558919 | SSMI | 0.95474378525 | Delta_E | 0.606040531588
[2021-09-02 01:47:37,914] A: 020044, B: 020044_870001 | MSE | 17.3537088235 | PSNR | 35.73688054683008 | SSMI | 0.921562956226 | Delta_E | 0.829023690027
[2021-09-02 01:47:43,299] A: 020045, B: 020045_870001 | MSE | 14.204589049 | PSNR | 36.60651687140108 | SSMI | 0.94593534316 | Delta_E | 0.811443609578
[2021-09-02 01:47:48,680] A: 020046, B: 020046_870001 | MSE | 10.0686062972 | PSNR | 38.101110014697824 | SSMI | 0.951762064785 | Delta_E | 0.597989063717
[2021-09-02 01:47:54,072] A: 020047, B: 020047_870001 | MSE | 68.3229856491 | PSNR | 29.785135245189103 | SSMI | 0.866577043007 | Delta_E | 1.86040581726
[2021-09-02 01:47:59,459] A: 020048, B: 020048_870001 | MSE | 26.6386082967 | PSNR | 33.87568828990006 | SSMI | 0.869061280625 | Delta_E | 0.957540035921
[2021-09-02 01:48:04,840] A: 020049, B: 020049_870001 | MSE | 15.35699296 | PSNR | 36.267741756892434 | SSMI | 0.931496030515 | Delta_E | 0.638277416176
[2021-09-02 01:48:10,231] A: 020050, B: 020050_870001 | MSE | 23.2123132547 | PSNR | 34.47361938047514 | SSMI | 0.905362231119 | Delta_E | 1.02766814616
[2021-09-02 01:48:15,596] A: 020051, B: 020051_870001 | MSE | 14.8174529076 | PSNR | 36.42306805217921 | SSMI | 0.939092684376 | Delta_E | 0.681113010951
[2021-09-02 01:48:21,023] A: 020052, B: 020052_870001 | MSE | 16.4427638849 | PSNR | 35.971055404220714 | SSMI | 0.931500447127 | Delta_E | 0.699176437738
[2021-09-02 01:48:26,411] A: 020053, B: 020053_870001 | MSE | 12.9910841783 | PSNR | 36.99434963990415 | SSMI | 0.91775356105 | Delta_E | 0.613428753958
[2021-09-02 01:48:31,805] A: 020054, B: 020054_870001 | MSE | 13.3192218145 | PSNR | 36.88601509273321 | SSMI | 0.934971741162 | Delta_E | 0.647480070329
[2021-09-02 01:48:37,203] A: 020055, B: 020055_870001 | MSE | 14.1302187443 | PSNR | 36.62931475827736 | SSMI | 0.939887576221 | Delta_E | 0.801307802979
[2021-09-02 01:48:42,612] A: 020056, B: 020056_870001 | MSE | 62.2900370757 | PSNR | 30.186617714970957 | SSMI | 0.819079449936 | Delta_E | 1.8120678711
[2021-09-02 01:48:48,009] A: 020057, B: 020057_870001 | MSE | 22.9904061158 | PSNR | 34.51533717901598 | SSMI | 0.914633474782 | Delta_E | 0.898650055307
[2021-09-02 01:48:53,413] A: 020058, B: 020058_870001 | MSE | 19.6757813295 | PSNR | 35.19148373567881 | SSMI | 0.92260700503 | Delta_E | 0.943879324329
[2021-09-02 01:48:58,809] A: 020059, B: 020059_870001 | MSE | 16.8765784105 | PSNR | 35.85795959341218 | SSMI | 0.93067697603 | Delta_E | 0.6836746102
[2021-09-02 01:49:04,195] A: 020060, B: 020060_870001 | MSE | 4.19406485558 | PSNR | 41.90445218906252 | SSMI | 0.970242120587 | Delta_E | 0.324327052429
[2021-09-02 01:49:09,597] A: 020061, B: 020061_870001 | MSE | 10.3703612487 | PSNR | 37.97286475687779 | SSMI | 0.953039750953 | Delta_E | 0.614491110017
[2021-09-02 01:49:15,004] A: 020062, B: 020062_870001 | MSE | 12.9169069926 | PSNR | 37.01921828390148 | SSMI | 0.94274044989 | Delta_E | 0.778045367546
[2021-09-02 01:49:20,416] A: 020063, B: 020063_870001 | MSE | 24.2408227921 | PSNR | 34.28533004120196 | SSMI | 0.918881282944 | Delta_E | 0.964330881835
[2021-09-02 01:49:25,837] A: 020064, B: 020064_870001 | MSE | 11.9733945529 | PSNR | 37.34863067054651 | SSMI | 0.949406034836 | Delta_E | 0.722186005132
[2021-09-02 01:49:31,274] A: 020065, B: 020065_870001 | MSE | 16.1121379534 | PSNR | 36.05927189177644 | SSMI | 0.913860977769 | Delta_E | 0.687590566708
[2021-09-02 01:49:36,682] A: 020066, B: 020066_870001 | MSE | 21.3143649101 | PSNR | 34.844079640741576 | SSMI | 0.897665162839 | Delta_E | 0.840023310309
[2021-09-02 01:49:42,097] A: 020067, B: 020067_870001 | MSE | 15.1702970664 | PSNR | 36.32086275597176 | SSMI | 0.910464948339 | Delta_E | 0.644412951849
[2021-09-02 01:49:47,496] A: 020068, B: 020068_870001 | MSE | 11.112553676 | PSNR | 37.67266489150964 | SSMI | 0.965875228459 | Delta_E | 0.647137570371
[2021-09-02 01:49:52,890] A: 020069, B: 020069_870001 | MSE | 34.2120964527 | PSNR | 32.7890067312108 | SSMI | 0.875199412337 | Delta_E | 1.41221577812
[2021-09-02 01:49:58,283] A: 020070, B: 020070_870001 | MSE | 6.27605096499 | PSNR | 40.1539389922825 | SSMI | 0.971822943987 | Delta_E | 0.404855639783
[2021-09-02 01:50:03,707] A: 020071, B: 020071_870001 | MSE | 39.1708204746 | PSNR | 32.20117692463517 | SSMI | 0.943186972705 | Delta_E | 1.51015742225
[2021-09-02 01:50:09,128] A: 020072, B: 020072_870001 | MSE | 17.769339482 | PSNR | 35.63409076262305 | SSMI | 0.941758857169 | Delta_E | 0.92884835384
[2021-09-02 01:50:14,544] A: 020073, B: 020073_870001 | MSE | 12.9065381686 | PSNR | 37.022705907851844 | SSMI | 0.962880096243 | Delta_E | 0.752527354542
[2021-09-02 01:50:19,947] A: 020074, B: 020074_870001 | MSE | 4.70284978549 | PSNR | 41.407192537731234 | SSMI | 0.979057685592 | Delta_E | 0.452542559767
[2021-09-02 01:50:25,359] A: 020075, B: 020075_870001 | MSE | 19.1697355906 | PSNR | 35.30464238199968 | SSMI | 0.931498573887 | Delta_E | 0.929623997464
[2021-09-02 01:50:30,799] A: 020076, B: 020076_870001 | MSE | 13.1191527049 | PSNR | 36.95174573654488 | SSMI | 0.962769541716 | Delta_E | 0.749433530663
[2021-09-02 01:50:36,258] A: 020077, B: 020077_870001 | MSE | 20.5680826505 | PSNR | 34.99886552066583 | SSMI | 0.929209428577 | Delta_E | 1.00114671229
[2021-09-02 01:50:41,680] A: 020078, B: 020078_870001 | MSE | 13.190300703 | PSNR | 36.928256644734674 | SSMI | 0.963958380828 | Delta_E | 0.753219574724
[2021-09-02 01:50:47,084] A: 020079, B: 020079_870001 | MSE | 8.95037666957 | PSNR | 38.6123904822555 | SSMI | 0.972574224122 | Delta_E | 0.586869290685
[2021-09-02 01:50:52,472] A: 020080, B: 020080_870001 | MSE | 10.6402876377 | PSNR | 37.86126992515835 | SSMI | 0.953731423077 | Delta_E | 0.720370441309
[2021-09-02 01:50:57,903] A: 020081, B: 020081_870001 | MSE | 23.5856747627 | PSNR | 34.40432055374742 | SSMI | 0.964948959648 | Delta_E | 1.070261586
[2021-09-02 01:51:03,315] A: 020082, B: 020082_870001 | MSE | 11.9718694687 | PSNR | 37.34918387859892 | SSMI | 0.954255666737 | Delta_E | 0.710880365258
[2021-09-02 01:51:08,718] A: 020083, B: 020083_870001 | MSE | 12.4022638003 | PSNR | 37.19579396169708 | SSMI | 0.963731180439 | Delta_E | 0.751871681839
[2021-09-02 01:51:14,126] A: 020084, B: 020084_870001 | MSE | 19.7208507856 | PSNR | 35.18154713776437 | SSMI | 0.940486258106 | Delta_E | 1.00568101761
[2021-09-02 01:51:19,559] A: 020085, B: 020085_870001 | MSE | 9.70925132434 | PSNR | 38.258946179058704 | SSMI | 0.962857620834 | Delta_E | 0.608165576639
[2021-09-02 01:51:24,967] A: 020086, B: 020086_870001 | MSE | 9.75047850609 | PSNR | 38.24054431584308 | SSMI | 0.967395843862 | Delta_E | 0.655449419655
[2021-09-02 01:51:30,392] A: 020087, B: 020087_870001 | MSE | 20.3306230704 | PSNR | 35.049296722500586 | SSMI | 0.949146067939 | Delta_E | 0.978440804739
[2021-09-02 01:51:35,834] A: 020088, B: 020088_870001 | MSE | 16.5426464081 | PSNR | 35.94475373880502 | SSMI | 0.949176553567 | Delta_E | 0.906596486718
