[2021-07-30 14:28:20,269] A: 090001.jpg, B: 090001.jpg | MSE | 169.686306424 | PSNR | 25.834335644230578 | SSMI | 0.84671361305 | Delta_E | 6.02447381831
[2021-07-30 14:28:20,277] A: 090002.jpg, B: 090002.jpg | MSE | 201.970956308 | PSNR | 25.077914390554582 | SSMI | 0.821260367818 | Delta_E | 5.97313471604
[2021-07-30 14:28:20,285] A: 090003.jpg, B: 090003.jpg | MSE | 81.4416232639 | PSNR | 29.022339395942357 | SSMI | 0.906015998133 | Delta_E | 3.5862712365
[2021-07-30 14:28:20,292] A: 090004.jpg, B: 090004.jpg | MSE | 205.464048032 | PSNR | 25.00344520578453 | SSMI | 0.822534422719 | Delta_E | 6.46114558242
[2021-07-30 14:28:20,299] A: 090005.jpg, B: 090005.jpg | MSE | 73.750036169 | PSNR | 29.453181232280798 | SSMI | 0.910328243423 | Delta_E | 3.76487319719
[2021-07-30 14:28:20,317] A: 090006.jpg, B: 090006.jpg | MSE | 125.000506366 | PSNR | 27.16168588568641 | SSMI | 0.829283571428 | Delta_E | 6.7438188793
[2021-07-30 14:28:20,324] A: 090007.jpg, B: 090007.jpg | MSE | 80.7672526042 | PSNR | 29.05845050787665 | SSMI | 0.920509403433 | Delta_E | 3.54251484483
[2021-07-30 14:28:20,331] A: 090008.jpg, B: 090008.jpg | MSE | 125.618815104 | PSNR | 27.14025668250652 | SSMI | 0.810275613931 | Delta_E | 6.55510357897
[2021-07-30 14:28:20,339] A: 090009.jpg, B: 090009.jpg | MSE | 59.5474175347 | PSNR | 30.382174292177005 | SSMI | 0.928968223307 | Delta_E | 3.14209718226
[2021-07-30 14:28:20,346] A: 090010.jpg, B: 090010.jpg | MSE | 276.691731771 | PSNR | 23.710841793198508 | SSMI | 0.807097334718 | Delta_E | 6.82854136905
[2021-07-30 14:28:20,353] A: 090011.jpg, B: 090011.jpg | MSE | 192.834960938 | PSNR | 25.278945866652744 | SSMI | 0.772250822623 | Delta_E | 6.1766952485
[2021-07-30 14:28:20,360] A: 090012.jpg, B: 090012.jpg | MSE | 25.7218967014 | PSNR | 34.02777371087889 | SSMI | 0.941781916756 | Delta_E | 3.19583781824
[2021-07-30 14:28:20,368] A: 090013.jpg, B: 090013.jpg | MSE | 162.450737847 | PSNR | 26.023586726276633 | SSMI | 0.829222863435 | Delta_E | 5.94256698854
[2021-07-30 14:28:20,375] A: 090014.jpg, B: 090014.jpg | MSE | 49.2922453704 | PSNR | 31.203017591921636 | SSMI | 0.903952644516 | Delta_E | 3.66896225361
[2021-07-30 14:28:20,382] A: 090015.jpg, B: 090015.jpg | MSE | 153.800238715 | PSNR | 26.261233513280672 | SSMI | 0.840015534756 | Delta_E | 4.84923178656
[2021-07-30 14:28:20,389] A: 090016.jpg, B: 090016.jpg | MSE | 106.340711806 | PSNR | 27.863807978727266 | SSMI | 0.876533218877 | Delta_E | 4.94582662093
[2021-07-30 14:28:20,396] A: 090017.jpg, B: 090017.jpg | MSE | 127.198567708 | PSNR | 27.08598139806061 | SSMI | 0.873841215517 | Delta_E | 5.07489980835
[2021-07-30 14:28:20,404] A: 090018.jpg, B: 090018.jpg | MSE | 99.8384331597 | PSNR | 28.137826041888783 | SSMI | 0.887013363613 | Delta_E | 4.20513114013
[2021-07-30 14:28:20,411] A: 090019.jpg, B: 090019.jpg | MSE | 218.508608218 | PSNR | 24.73611810052276 | SSMI | 0.840021302638 | Delta_E | 5.35938747727
[2021-07-30 14:28:20,418] A: 090020.jpg, B: 090020.jpg | MSE | 72.9852792245 | PSNR | 29.49845086997363 | SSMI | 0.886128148011 | Delta_E | 4.16412565684
[2021-07-30 14:28:20,425] A: 090021.jpg, B: 090021.jpg | MSE | 125.847222222 | PSNR | 27.132367268943327 | SSMI | 0.870377507968 | Delta_E | 4.36835229881
[2021-07-30 14:28:20,433] A: 090022.jpg, B: 090022.jpg | MSE | 74.9303747106 | PSNR | 29.384224564513133 | SSMI | 0.892899445636 | Delta_E | 4.07464787913
[2021-07-30 14:28:20,440] A: 090023.jpg, B: 090023.jpg | MSE | 157.926396123 | PSNR | 26.146256359746207 | SSMI | 0.87645734062 | Delta_E | 4.42496601365
[2021-07-30 14:28:20,448] A: 090024.jpg, B: 090024.jpg | MSE | 86.7956452546 | PSNR | 28.745824247389727 | SSMI | 0.881987227393 | Delta_E | 5.36956165372
[2021-07-30 14:28:20,455] A: 090025.jpg, B: 090025.jpg | MSE | 79.7120587384 | PSNR | 29.115563349873504 | SSMI | 0.895791765385 | Delta_E | 5.65256893209
[2021-07-30 14:28:20,463] A: 090026.jpg, B: 090026.jpg | MSE | 161.901041667 | PSNR | 26.038307178672856 | SSMI | 0.834520558169 | Delta_E | 6.01659669606
[2021-07-30 14:28:20,471] A: 090027.jpg, B: 090027.jpg | MSE | 68.1688368056 | PSNR | 29.79494477361438 | SSMI | 0.911385478262 | Delta_E | 3.86310727788
[2021-07-30 14:28:20,479] A: 090028.jpg, B: 090028.jpg | MSE | 185.572518808 | PSNR | 25.44566698326492 | SSMI | 0.845368306431 | Delta_E | 5.9950357091
[2021-07-30 14:28:20,487] A: 090029.jpg, B: 090029.jpg | MSE | 52.070240162 | PSNR | 30.964907801039345 | SSMI | 0.912602634819 | Delta_E | 3.7554158464
[2021-07-30 14:28:20,494] A: 090030.jpg, B: 090030.jpg | MSE | 207.786024306 | PSNR | 24.95464027324774 | SSMI | 0.805720628384 | Delta_E | 6.43519798803
[2021-07-30 14:28:20,501] A: 090031.jpg, B: 090031.jpg | MSE | 52.685546875 | PSNR | 30.91388868488793 | SSMI | 0.91524266476 | Delta_E | 3.47869996983
[2021-07-30 14:28:20,508] A: 090032.jpg, B: 090032.jpg | MSE | 193.572952836 | PSNR | 25.26235685864708 | SSMI | 0.818656489246 | Delta_E | 6.49267017747
[2021-07-30 14:28:20,516] A: 090033.jpg, B: 090033.jpg | MSE | 78.0394241898 | PSNR | 29.207663045548173 | SSMI | 0.924262171025 | Delta_E | 3.48462833431
[2021-07-30 14:28:20,523] A: 090034.jpg, B: 090034.jpg | MSE | 214.094654225 | PSNR | 24.82474537430406 | SSMI | 0.824619686751 | Delta_E | 5.79664878637
[2021-07-30 14:28:20,530] A: 090035.jpg, B: 090035.jpg | MSE | 154.40057147 | PSNR | 26.244314574474153 | SSMI | 0.799784497563 | Delta_E | 5.73546447363
[2021-07-30 14:28:20,537] A: 090036.jpg, B: 090036.jpg | MSE | 39.740198206 | PSNR | 32.13850332025532 | SSMI | 0.930659210769 | Delta_E | 3.48713082548
[2021-07-30 14:28:20,544] A: 090037.jpg, B: 090037.jpg | MSE | 211.103768808 | PSNR | 24.885843740886727 | SSMI | 0.815813809817 | Delta_E | 5.94385206875
[2021-07-30 14:28:20,552] A: 090038.jpg, B: 090038.jpg | MSE | 48.2437789352 | PSNR | 31.296390421168216 | SSMI | 0.921762631706 | Delta_E | 3.27920885922
[2021-07-30 14:28:20,559] A: 090039.jpg, B: 090039.jpg | MSE | 159.443938079 | PSNR | 26.10472348477479 | SSMI | 0.857225933197 | Delta_E | 4.83956016287
[2021-07-30 14:28:20,566] A: 090040.jpg, B: 090040.jpg | MSE | 86.0105613426 | PSNR | 28.78528578796521 | SSMI | 0.861707521194 | Delta_E | 5.23712739415
[2021-07-30 14:28:20,573] A: 090041.jpg, B: 090041.jpg | MSE | 20.175817419 | PSNR | 35.08249221768148 | SSMI | 0.924189860639 | Delta_E | 3.34334262844
[2021-07-30 14:28:20,580] A: 090042.jpg, B: 090042.jpg | MSE | 23.6335720486 | PSNR | 34.395509937103895 | SSMI | 0.928206161587 | Delta_E | 3.74894331841
[2021-07-30 14:28:20,588] A: 090043.jpg, B: 090043.jpg | MSE | 172.950918692 | PSNR | 25.75157487597248 | SSMI | 0.85368314022 | Delta_E | 4.57002106939
[2021-07-30 14:28:20,595] A: 090044.jpg, B: 090044.jpg | MSE | 76.6720920139 | PSNR | 29.284430476352455 | SSMI | 0.896663254234 | Delta_E | 3.75185516481
[2021-07-30 14:28:20,603] A: 090045.jpg, B: 090045.jpg | MSE | 162.126157407 | PSNR | 26.032272713664838 | SSMI | 0.848322304011 | Delta_E | 4.53145093786
[2021-07-30 14:28:20,610] A: 090046.jpg, B: 090046.jpg | MSE | 78.6483289931 | PSNR | 29.173908610771306 | SSMI | 0.887447228369 | Delta_E | 4.41754189528
[2021-07-30 14:28:20,617] A: 090047.jpg, B: 090047.jpg | MSE | 155.695023148 | PSNR | 26.208056304696132 | SSMI | 0.867148425702 | Delta_E | 4.52574651714
[2021-07-30 14:28:20,624] A: 090048.jpg, B: 090048.jpg | MSE | 71.5556278935 | PSNR | 29.584365639044723 | SSMI | 0.884950488515 | Delta_E | 5.13551142418
