[2021-07-26 11:23:46,151] A: 00035.jpg, B: 00035.jpg | MSE | 35.4080958333 | PSNR | 32.63977788848907 | SSMI | 0.942948636664 | Delta_E | 2.29886576474
[2021-07-26 11:23:46,373] A: 00036.jpg, B: 00036.jpg | MSE | 32.4794583333 | PSNR | 33.01471583057577 | SSMI | 0.94653880342 | Delta_E | 2.03970804352
[2021-07-26 11:23:46,694] A: 00037.jpg, B: 00037.jpg | MSE | 30.6999833333 | PSNR | 33.25942221164122 | SSMI | 0.949070432685 | Delta_E | 2.21266634211
[2021-07-26 11:23:47,002] A: 00038.jpg, B: 00038.jpg | MSE | 36.7217416667 | PSNR | 32.48157089801535 | SSMI | 0.942130542837 | Delta_E | 2.45500715357
[2021-07-26 11:23:47,292] A: 00039.jpg, B: 00039.jpg | MSE | 37.9598354167 | PSNR | 32.33756040089168 | SSMI | 0.946696344163 | Delta_E | 2.22501714498
[2021-07-26 11:23:47,579] A: 00040.jpg, B: 00040.jpg | MSE | 38.2085020833 | PSNR | 32.30920348819236 | SSMI | 0.940727436335 | Delta_E | 2.3421123664
[2021-07-26 11:23:47,833] A: 00041.jpg, B: 00041.jpg | MSE | 28.3579333333 | PSNR | 33.60405783674017 | SSMI | 0.94492510226 | Delta_E | 2.13323349877
[2021-07-26 11:23:48,042] A: 00042.jpg, B: 00042.jpg | MSE | 29.7644958333 | PSNR | 33.39381830225919 | SSMI | 0.946047947041 | Delta_E | 2.14515166881
[2021-07-26 11:23:48,255] A: 00043.jpg, B: 00043.jpg | MSE | 35.97855 | PSNR | 32.570367043511006 | SSMI | 0.932878861237 | Delta_E | 2.7959528518
[2021-07-26 11:23:48,669] A: 00044.jpg, B: 00044.jpg | MSE | 34.8523625 | PSNR | 32.708481383782775 | SSMI | 0.93938469515 | Delta_E | 2.7285909151
[2021-07-26 11:23:48,992] A: 00045.jpg, B: 00045.jpg | MSE | 45.135025 | PSNR | 31.585666735191623 | SSMI | 0.934597642204 | Delta_E | 2.6967198781
[2021-07-26 11:23:49,299] A: 00046.jpg, B: 00046.jpg | MSE | 37.5533854167 | PSNR | 32.384312663585256 | SSMI | 0.939607577614 | Delta_E | 2.3218989845
[2021-07-26 11:23:49,597] A: 00047.jpg, B: 00047.jpg | MSE | 21.4253291667 | PSNR | 34.821528579660786 | SSMI | 0.949970978117 | Delta_E | 2.02472013168
[2021-07-26 11:23:49,874] A: 00048.jpg, B: 00048.jpg | MSE | 36.4095916667 | PSNR | 32.5186455251644 | SSMI | 0.939346703332 | Delta_E | 2.32521538967
[2021-07-26 11:23:50,082] A: 00049.jpg, B: 00049.jpg | MSE | 35.472275 | PSNR | 32.6319131820193 | SSMI | 0.93826201725 | Delta_E | 2.48224769485
[2021-07-26 11:23:50,296] A: 00050.jpg, B: 00050.jpg | MSE | 43.4327208333 | PSNR | 31.752633243702864 | SSMI | 0.934872021981 | Delta_E | 2.76442880409
[2021-07-26 11:23:50,594] A: 00051.jpg, B: 00051.jpg | MSE | 50.3716708333 | PSNR | 31.108940041801006 | SSMI | 0.929723882911 | Delta_E | 3.1289733099
[2021-07-26 11:23:50,911] A: 00052.jpg, B: 00052.jpg | MSE | 57.29345 | PSNR | 30.54975386220844 | SSMI | 0.917126367326 | Delta_E | 3.58267305237
[2021-07-26 11:23:51,209] A: 00053.jpg, B: 00053.jpg | MSE | 112.00943125 | PSNR | 27.638257688460545 | SSMI | 0.804411838409 | Delta_E | 4.81914204661
[2021-07-26 11:23:51,510] A: 00054.jpg, B: 00054.jpg | MSE | 114.998195833 | PSNR | 27.52389333955812 | SSMI | 0.888816399396 | Delta_E | 5.6464748674
[2021-07-26 11:23:51,768] A: 00055.jpg, B: 00055.jpg | MSE | 125.560560417 | PSNR | 27.142271154413493 | SSMI | 0.813128135711 | Delta_E | 4.31626663914
[2021-07-26 11:23:51,996] A: 00056.jpg, B: 00056.jpg | MSE | 180.774191667 | PSNR | 25.55943932609118 | SSMI | 0.815596107481 | Delta_E | 6.76295196528
[2021-07-26 11:23:52,261] A: 00057.jpg, B: 00057.jpg | MSE | 103.44740625 | PSNR | 27.983607548505375 | SSMI | 0.896849812261 | Delta_E | 5.10536060544
[2021-07-26 11:23:52,691] A: 00058.jpg, B: 00058.jpg | MSE | 107.648508333 | PSNR | 27.810723446098493 | SSMI | 0.819628873877 | Delta_E | 4.24665951256
[2021-07-26 11:23:53,014] A: 00059.jpg, B: 00059.jpg | MSE | 80.8692125 | PSNR | 29.052971468727847 | SSMI | 0.814516592125 | Delta_E | 3.53996403008
[2021-07-26 11:23:53,512] A: 00060.jpg, B: 00060.jpg | MSE | 83.7022375 | PSNR | 28.903432933057722 | SSMI | 0.90117027158 | Delta_E | 4.67347598031
[2021-07-26 11:23:53,919] A: 00061.jpg, B: 00061.jpg | MSE | 73.8812416667 | PSNR | 29.445461751764487 | SSMI | 0.918143563653 | Delta_E | 3.69944607802
[2021-07-26 11:23:54,324] A: 00062.jpg, B: 00062.jpg | MSE | 57.2266770833 | PSNR | 30.554818319133826 | SSMI | 0.865168018132 | Delta_E | 3.33985624896
[2021-07-26 11:23:54,804] A: 00063.jpg, B: 00063.jpg | MSE | 104.154785417 | PSNR | 27.954011323613166 | SSMI | 0.818021802791 | Delta_E | 3.94313131281
[2021-07-26 11:23:55,286] A: 00064.jpg, B: 00064.jpg | MSE | 109.622916667 | PSNR | 27.731790079831455 | SSMI | 0.903238320245 | Delta_E | 4.5475334107
[2021-07-26 11:23:55,730] A: 00065.jpg, B: 00065.jpg | MSE | 78.73061875 | PSNR | 29.16936696258677 | SSMI | 0.917419564852 | Delta_E | 3.9274505848
[2021-07-26 11:23:56,040] A: 00066.jpg, B: 00066.jpg | MSE | 71.37800625 | PSNR | 29.595159479111448 | SSMI | 0.913578189595 | Delta_E | 3.67622202181
[2021-07-26 11:23:56,298] A: 00067.jpg, B: 00067.jpg | MSE | 103.934722917 | PSNR | 27.963196982786286 | SSMI | 0.814712375104 | Delta_E | 4.23900218592
[2021-07-26 11:23:56,624] A: 00068.jpg, B: 00068.jpg | MSE | 100.84145 | PSNR | 28.094412790948454 | SSMI | 0.911699574451 | Delta_E | 4.92729705814
[2021-07-26 11:23:56,995] A: 00069.jpg, B: 00069.jpg | MSE | 83.5931875 | PSNR | 28.909094751957937 | SSMI | 0.919491274721 | Delta_E | 3.86465132074
[2021-07-26 11:23:57,268] A: 00070.jpg, B: 00070.jpg | MSE | 51.8585041667 | PSNR | 30.982603752670418 | SSMI | 0.891646286837 | Delta_E | 2.83431867361
[2021-07-26 11:23:57,633] A: 00071.jpg, B: 00071.jpg | MSE | 35.726625 | PSNR | 32.60088369381584 | SSMI | 0.912336979575 | Delta_E | 2.3133651999
[2021-07-26 11:23:58,101] A: 00072.jpg, B: 00072.jpg | MSE | 37.2129729167 | PSNR | 32.42385993997982 | SSMI | 0.908277911793 | Delta_E | 2.38800203584
[2021-07-26 11:23:58,510] A: 00073.jpg, B: 00073.jpg | MSE | 35.3421916667 | PSNR | 32.64786883064846 | SSMI | 0.913100382245 | Delta_E | 2.29163009252
[2021-07-26 11:23:58,950] A: 00074.jpg, B: 00074.jpg | MSE | 32.0985770833 | PSNR | 33.06594580131369 | SSMI | 0.915833833138 | Delta_E | 2.24506995585
[2021-07-26 11:23:59,345] A: 00075.jpg, B: 00075.jpg | MSE | 35.13805625 | PSNR | 32.673026271362716 | SSMI | 0.906287261293 | Delta_E | 2.46548886046
[2021-07-26 11:23:59,754] A: 00076.jpg, B: 00076.jpg | MSE | 54.08048125 | PSNR | 30.800398132285345 | SSMI | 0.855375278927 | Delta_E | 2.41537573983
[2021-07-26 11:24:00,158] A: 00077.jpg, B: 00077.jpg | MSE | 43.3426854167 | PSNR | 31.76164545127542 | SSMI | 0.889846583976 | Delta_E | 2.52532778858
[2021-07-26 11:24:00,491] A: 00078.jpg, B: 00078.jpg | MSE | 38.63676875 | PSNR | 32.260795622943206 | SSMI | 0.902581415338 | Delta_E | 2.29710361963
[2021-07-26 11:24:00,790] A: 00079.jpg, B: 00079.jpg | MSE | 32.469675 | PSNR | 33.01602419221059 | SSMI | 0.916132319892 | Delta_E | 2.19017801125
[2021-07-26 11:24:01,031] A: 00080.jpg, B: 00080.jpg | MSE | 23.4317854167 | PSNR | 34.43274979353138 | SSMI | 0.910956337949 | Delta_E | 1.46351356355
[2021-07-26 11:24:01,271] A: 00081.jpg, B: 00081.jpg | MSE | 32.4200770833 | PSNR | 33.022663177574344 | SSMI | 0.908423750501 | Delta_E | 2.0312083958
[2021-07-26 11:24:01,614] A: 00082.jpg, B: 00082.jpg | MSE | 53.7844583333 | PSNR | 30.824235616917957 | SSMI | 0.862458855343 | Delta_E | 2.43649831844
[2021-07-26 11:24:01,916] A: 00083.jpg, B: 00083.jpg | MSE | 38.3571666667 | PSNR | 32.29233841265993 | SSMI | 0.906882424733 | Delta_E | 2.19439913417
[2021-07-26 11:24:02,220] A: 00084.jpg, B: 00084.jpg | MSE | 27.9662791667 | PSNR | 33.66445672289658 | SSMI | 0.918944446923 | Delta_E | 1.87617140156
[2021-07-26 11:24:02,457] A: 00085.jpg, B: 00085.jpg | MSE | 24.6775208333 | PSNR | 34.2077883364628 | SSMI | 0.929083732526 | Delta_E | 1.88619272431
[2021-07-26 11:24:02,688] A: 00086.jpg, B: 00086.jpg | MSE | 26.91235 | PSNR | 33.83128738634744 | SSMI | 0.927235731914 | Delta_E | 2.08614404074
[2021-07-26 11:24:02,928] A: 00087.jpg, B: 00087.jpg | MSE | 22.7256416667 | PSNR | 34.56564206339876 | SSMI | 0.919306228609 | Delta_E | 1.47926598724
[2021-07-26 11:24:03,192] A: 00088.jpg, B: 00088.jpg | MSE | 54.1078479167 | PSNR | 30.79820100202805 | SSMI | 0.87570658016 | Delta_E | 2.43008660383
