[2021-07-30 09:30:34,939] A: 090036.jpg, B: 090036.jpg | MSE | 45.7040292245 | PSNR | 31.531258721143168 | SSMI | 0.930047353504 | Delta_E | 3.95513047774
[2021-07-30 09:30:34,946] A: 090037.jpg, B: 090037.jpg | MSE | 207.729781539 | PSNR | 24.955815964897244 | SSMI | 0.809214137126 | Delta_E | 5.62885893476
[2021-07-30 09:30:34,954] A: 090038.jpg, B: 090038.jpg | MSE | 67.6117983218 | PSNR | 29.83057873521791 | SSMI | 0.92044179441 | Delta_E | 3.41714529665
[2021-07-30 09:30:34,961] A: 090039.jpg, B: 090039.jpg | MSE | 100.839879919 | PSNR | 28.094480410248938 | SSMI | 0.86522446838 | Delta_E | 4.45876298899
[2021-07-30 09:30:34,968] A: 090040.jpg, B: 090040.jpg | MSE | 103.50426794 | PSNR | 27.98122102818981 | SSMI | 0.866594442806 | Delta_E | 4.86721760229
[2021-07-30 09:30:34,977] A: 090041.jpg, B: 090041.jpg | MSE | 22.7762948495 | PSNR | 34.55597284552243 | SSMI | 0.929061504473 | Delta_E | 3.26955459102
[2021-07-30 09:30:34,984] A: 090042.jpg, B: 090042.jpg | MSE | 23.4415509259 | PSNR | 34.4309401903853 | SSMI | 0.929641148875 | Delta_E | 4.02607079605
[2021-07-30 09:30:34,992] A: 090043.jpg, B: 090043.jpg | MSE | 129.668836806 | PSNR | 27.002447458444536 | SSMI | 0.851584527504 | Delta_E | 4.63214773463
[2021-07-30 09:30:35,000] A: 090044.jpg, B: 090044.jpg | MSE | 55.0805483218 | PSNR | 30.720821059001437 | SSMI | 0.897071657158 | Delta_E | 3.72588097556
[2021-07-30 09:30:35,007] A: 090045.jpg, B: 090045.jpg | MSE | 119.628255208 | PSNR | 27.35246592320987 | SSMI | 0.847213904486 | Delta_E | 4.92446738309
[2021-07-30 09:30:35,015] A: 090046.jpg, B: 090046.jpg | MSE | 70.5626085069 | PSNR | 29.645057337663644 | SSMI | 0.884500115251 | Delta_E | 4.18219137561
[2021-07-30 09:30:35,022] A: 090047.jpg, B: 090047.jpg | MSE | 141.41015625 | PSNR | 26.625997587271613 | SSMI | 0.858219513671 | Delta_E | 4.45823287953
[2021-07-30 09:30:35,029] A: 090048.jpg, B: 090048.jpg | MSE | 67.1216001157 | PSNR | 29.862180597523707 | SSMI | 0.879572557006 | Delta_E | 4.85239766542
[2021-07-30 09:30:35,037] A: 090049.jpg, B: 090049.jpg | MSE | 100.107349537 | PSNR | 28.12614397812078 | SSMI | 0.890426860449 | Delta_E | 6.50675709647
[2021-07-30 09:30:35,044] A: 090050.jpg, B: 090050.jpg | MSE | 88.847692419 | PSNR | 28.644342082169345 | SSMI | 0.885952062045 | Delta_E | 4.830754744
[2021-07-30 09:30:35,053] A: 090051.jpg, B: 090051.jpg | MSE | 55.9729817708 | PSNR | 30.651019177788307 | SSMI | 0.911330238038 | Delta_E | 3.83860492857
[2021-07-30 09:30:35,061] A: 090052.jpg, B: 090052.jpg | MSE | 188.328414352 | PSNR | 25.38164511030503 | SSMI | 0.821741229886 | Delta_E | 5.45407152821
[2021-07-30 09:30:35,068] A: 090053.jpg, B: 090053.jpg | MSE | 40.4871600116 | PSNR | 32.05763046795457 | SSMI | 0.9199719079 | Delta_E | 3.56977937093
[2021-07-30 09:30:35,074] A: 090054.jpg, B: 090054.jpg | MSE | 188.943106192 | PSNR | 25.367493100625374 | SSMI | 0.817719014737 | Delta_E | 5.9005029648
[2021-07-30 09:30:35,083] A: 090055.jpg, B: 090055.jpg | MSE | 47.3986183449 | PSNR | 31.373146785593967 | SSMI | 0.919929422141 | Delta_E | 3.79837902517
[2021-07-30 09:30:35,090] A: 090056.jpg, B: 090056.jpg | MSE | 188.662905093 | PSNR | 25.37393843306453 | SSMI | 0.812716924057 | Delta_E | 5.62113136058
[2021-07-30 09:30:35,098] A: 090057.jpg, B: 090057.jpg | MSE | 57.537037037 | PSNR | 30.53132867435904 | SSMI | 0.928564908695 | Delta_E | 3.34314654603
[2021-07-30 09:30:35,105] A: 090058.jpg, B: 090058.jpg | MSE | 195.461407697 | PSNR | 25.220193386697275 | SSMI | 0.804997626168 | Delta_E | 5.3011562117
[2021-07-30 09:30:35,113] A: 090059.jpg, B: 090059.jpg | MSE | 136.0703125 | PSNR | 26.793169786757748 | SSMI | 0.771264817537 | Delta_E | 5.13331603485
[2021-07-30 09:30:35,120] A: 090060.jpg, B: 090060.jpg | MSE | 42.1164641204 | PSNR | 31.886284579335467 | SSMI | 0.942946701946 | Delta_E | 2.99732836708
[2021-07-30 09:30:35,128] A: 090061.jpg, B: 090061.jpg | MSE | 204.205114294 | PSNR | 25.030137461246532 | SSMI | 0.809256432906 | Delta_E | 5.52199338605
[2021-07-30 09:30:35,135] A: 090062.jpg, B: 090062.jpg | MSE | 48.4011501736 | PSNR | 31.282246788078485 | SSMI | 0.913874755965 | Delta_E | 3.53164385393
[2021-07-30 09:30:35,142] A: 090063.jpg, B: 090063.jpg | MSE | 77.4019097222 | PSNR | 29.2432868478978 | SSMI | 0.863548592171 | Delta_E | 4.23860954813
[2021-07-30 09:30:35,150] A: 090064.jpg, B: 090064.jpg | MSE | 91.5974392361 | PSNR | 28.511970284792298 | SSMI | 0.873785059814 | Delta_E | 5.18692925161
[2021-07-30 09:30:35,157] A: 090065.jpg, B: 090065.jpg | MSE | 71.4141710069 | PSNR | 29.592959617043668 | SSMI | 0.898679721773 | Delta_E | 4.27932325633
[2021-07-30 09:30:35,164] A: 090066.jpg, B: 090066.jpg | MSE | 17.6743706597 | PSNR | 35.65736402267484 | SSMI | 0.940586528832 | Delta_E | 3.92708302571
[2021-07-30 09:30:35,172] A: 090067.jpg, B: 090067.jpg | MSE | 151.035083912 | PSNR | 26.34002519670149 | SSMI | 0.836734226656 | Delta_E | 5.98900990715
[2021-07-30 09:30:35,179] A: 090068.jpg, B: 090068.jpg | MSE | 76.9016203704 | PSNR | 29.2714487008473 | SSMI | 0.893791330254 | Delta_E | 3.83224996941
[2021-07-30 09:30:35,187] A: 090069.jpg, B: 090069.jpg | MSE | 108.682219329 | PSNR | 27.76921862587198 | SSMI | 0.855418607894 | Delta_E | 4.52446112236
[2021-07-30 09:30:35,194] A: 090070.jpg, B: 090070.jpg | MSE | 75.4796006944 | PSNR | 29.35250766893009 | SSMI | 0.882059778039 | Delta_E | 4.11075538545
[2021-07-30 09:30:35,201] A: 090071.jpg, B: 090071.jpg | MSE | 161.687789352 | PSNR | 26.0440313760559 | SSMI | 0.839210788237 | Delta_E | 4.77860018955
[2021-07-30 09:30:35,209] A: 090072.jpg, B: 090072.jpg | MSE | 97.1642071759 | PSNR | 28.255740495296827 | SSMI | 0.878328663325 | Delta_E | 4.74207517058
[2021-07-30 09:30:35,217] A: 090073.jpg, B: 090073.jpg | MSE | 118.22833478 | PSNR | 27.40358788181147 | SSMI | 0.877458401398 | Delta_E | 5.68263503167
