[2021-07-30 14:39:02,595] A: 090001.jpg, B: 090001.jpg | MSE | 106.353081597 | PSNR | 27.863302826961128 | SSMI | 0.846975906588 | Delta_E | 6.06182714801
[2021-07-30 14:39:02,602] A: 090002.jpg, B: 090002.jpg | MSE | 169.923032407 | PSNR | 25.828281110778065 | SSMI | 0.829574707954 | Delta_E | 6.72479884194
[2021-07-30 14:39:02,609] A: 090003.jpg, B: 090003.jpg | MSE | 49.3083767361 | PSNR | 31.20159655358748 | SSMI | 0.912939226642 | Delta_E | 4.71899836073
[2021-07-30 14:39:02,616] A: 090004.jpg, B: 090004.jpg | MSE | 115.647750289 | PSNR | 27.49943172065842 | SSMI | 0.835968283461 | Delta_E | 6.55817918196
[2021-07-30 14:39:02,623] A: 090005.jpg, B: 090005.jpg | MSE | 51.6726707176 | PSNR | 30.99819452100682 | SSMI | 0.916049150348 | Delta_E | 4.28416107618
[2021-07-30 14:39:02,631] A: 090006.jpg, B: 090006.jpg | MSE | 107.332103588 | PSNR | 27.823507197428725 | SSMI | 0.842073723034 | Delta_E | 6.02080561311
[2021-07-30 14:39:02,638] A: 090007.jpg, B: 090007.jpg | MSE | 42.3943142361 | PSNR | 31.85772746290773 | SSMI | 0.928019163228 | Delta_E | 3.93533587452
[2021-07-30 14:39:02,646] A: 090008.jpg, B: 090008.jpg | MSE | 189.279296875 | PSNR | 25.359772468758703 | SSMI | 0.819590851384 | Delta_E | 6.4959701833
[2021-07-30 14:39:02,653] A: 090009.jpg, B: 090009.jpg | MSE | 37.0988859954 | PSNR | 32.43719492043356 | SSMI | 0.936421248391 | Delta_E | 3.9267059645
[2021-07-30 14:39:02,661] A: 090010.jpg, B: 090010.jpg | MSE | 183.249457465 | PSNR | 25.500376633402013 | SSMI | 0.827067041985 | Delta_E | 6.88802433881
[2021-07-30 14:39:02,668] A: 090011.jpg, B: 090011.jpg | MSE | 152.827256944 | PSNR | 26.288795427219405 | SSMI | 0.7899553083 | Delta_E | 5.43022517881
[2021-07-30 14:39:02,675] A: 090012.jpg, B: 090012.jpg | MSE | 52.2132523148 | PSNR | 30.95299615016205 | SSMI | 0.940562242148 | Delta_E | 2.88672614304
[2021-07-30 14:39:02,682] A: 090013.jpg, B: 090013.jpg | MSE | 165.690972222 | PSNR | 25.93781514614428 | SSMI | 0.830333313024 | Delta_E | 6.73913405782
[2021-07-30 14:39:02,689] A: 090014.jpg, B: 090014.jpg | MSE | 58.6988570602 | PSNR | 30.444507157921386 | SSMI | 0.907238639883 | Delta_E | 5.07498923875
[2021-07-30 14:39:02,697] A: 090015.jpg, B: 090015.jpg | MSE | 104.096535012 | PSNR | 27.956440871729168 | SSMI | 0.848045849279 | Delta_E | 5.17875524802
[2021-07-30 14:39:02,704] A: 090016.jpg, B: 090016.jpg | MSE | 78.7928602431 | PSNR | 29.165934948697924 | SSMI | 0.881737329763 | Delta_E | 5.66539618911
[2021-07-30 14:39:02,711] A: 090017.jpg, B: 090017.jpg | MSE | 77.9563078704 | PSNR | 29.212290987842486 | SSMI | 0.881634024369 | Delta_E | 5.37033704337
[2021-07-30 14:39:02,718] A: 090018.jpg, B: 090018.jpg | MSE | 64.3058087384 | PSNR | 30.04830156386861 | SSMI | 0.893116933349 | Delta_E | 5.3816352067
[2021-07-30 14:39:02,725] A: 090019.jpg, B: 090019.jpg | MSE | 141.590133102 | PSNR | 26.620473708526035 | SSMI | 0.848295629487 | Delta_E | 5.99491551868
[2021-07-30 14:39:02,732] A: 090020.jpg, B: 090020.jpg | MSE | 80.0819227431 | PSNR | 29.095458689906216 | SSMI | 0.889406214644 | Delta_E | 4.08161799851
[2021-07-30 14:39:02,739] A: 090021.jpg, B: 090021.jpg | MSE | 89.0935329861 | PSNR | 28.632341797308904 | SSMI | 0.876620750119 | Delta_E | 5.01079587172
