[2021-09-02 17:49:28,424] A: 020009_004, B: 020009_004_1 | MSE | 2.9354022344 | PSNR | 43.45412740391897 | SSMI | 0.989344128928 | Delta_E | 0.433969787699
[2021-09-02 17:49:29,698] A: 020010_001, B: 020010_001_1 | MSE | 1.46489651998 | PSNR | 46.4727341357672 | SSMI | 0.992659348216 | Delta_E | 0.297940363653
[2021-09-02 17:49:30,974] A: 020010_002, B: 020010_002_1 | MSE | 1.25914891561 | PSNR | 47.130032650709 | SSMI | 0.99249200167 | Delta_E | 0.31387520583
[2021-09-02 17:49:32,258] A: 020010_003, B: 020010_003_1 | MSE | 2.73515160878 | PSNR | 43.76098956694303 | SSMI | 0.991557669008 | Delta_E | 0.355300642242
[2021-09-02 17:49:33,538] A: 020010_004, B: 020010_004_1 | MSE | 1.4413356781 | PSNR | 46.543152237947474 | SSMI | 0.993664113015 | Delta_E | 0.243428630653
[2021-09-02 17:49:34,823] A: 020011_001, B: 020011_001_1 | MSE | 5.29707018534 | PSNR | 40.8904463356089 | SSMI | 0.974175930328 | Delta_E | 0.503443729719
[2021-09-02 17:49:36,106] A: 020011_002, B: 020011_002_1 | MSE | 2.20792039235 | PSNR | 44.69096950227643 | SSMI | 0.979954610767 | Delta_E | 0.457834068166
[2021-09-02 17:49:37,390] A: 020011_003, B: 020011_003_1 | MSE | 4.49817466736 | PSNR | 41.60044045473697 | SSMI | 0.974888065689 | Delta_E | 0.477452531117
[2021-09-02 17:49:38,673] A: 020011_004, B: 020011_004_1 | MSE | 2.69554964701 | PSNR | 43.82433025732609 | SSMI | 0.979899444966 | Delta_E | 0.471726447873
[2021-09-02 17:49:39,957] A: 020012_001, B: 020012_001_1 | MSE | 11.8788286845 | PSNR | 37.383067418508716 | SSMI | 0.959048634344 | Delta_E | 0.859986409646
[2021-09-02 17:49:41,241] A: 020012_002, B: 020012_002_1 | MSE | 10.8820435206 | PSNR | 37.76369902418519 | SSMI | 0.96009632726 | Delta_E | 0.812720912038
[2021-09-02 17:49:42,528] A: 020012_003, B: 020012_003_1 | MSE | 14.7735404968 | PSNR | 36.43595773885409 | SSMI | 0.948320161653 | Delta_E | 0.949325255301
[2021-09-02 17:49:43,814] A: 020012_004, B: 020012_004_1 | MSE | 11.2781442006 | PSNR | 37.60842717756635 | SSMI | 0.957159934565 | Delta_E | 0.815483761897
[2021-09-02 17:49:45,097] A: 020013_001, B: 020013_001_1 | MSE | 1.96575164795 | PSNR | 45.19551712447223 | SSMI | 0.992538548371 | Delta_E | 0.295533690806
[2021-09-02 17:49:46,378] A: 020013_002, B: 020013_002_1 | MSE | 2.49786599477 | PSNR | 44.15511225185448 | SSMI | 0.993534324375 | Delta_E | 0.250364173065
[2021-09-02 17:49:47,660] A: 020013_003, B: 020013_003_1 | MSE | 2.24883715312 | PSNR | 44.61122353215008 | SSMI | 0.992424584852 | Delta_E | 0.304316838701
[2021-09-02 17:49:48,939] A: 020013_004, B: 020013_004_1 | MSE | 1.23831526438 | PSNR | 47.20249134478 | SSMI | 0.992674329734 | Delta_E | 0.307418856233
[2021-09-02 17:49:50,231] A: 020014_001, B: 020014_001_1 | MSE | 5.47237809499 | PSNR | 40.74904265047746 | SSMI | 0.978720599394 | Delta_E | 0.506375108901
[2021-09-02 17:49:51,521] A: 020014_002, B: 020014_002_1 | MSE | 4.16337776184 | PSNR | 41.93634542717195 | SSMI | 0.979290769815 | Delta_E | 0.503173765031
[2021-09-02 17:49:52,813] A: 020014_003, B: 020014_003_1 | MSE | 5.84071318309 | PSNR | 40.466144807815844 | SSMI | 0.976218898968 | Delta_E | 0.498798654047
[2021-09-02 17:49:54,106] A: 020014_004, B: 020014_004_1 | MSE | 3.07900079091 | PSNR | 43.24670560405927 | SSMI | 0.981773784044 | Delta_E | 0.411442084944
[2021-09-02 17:49:55,405] A: 020015_001, B: 020015_001_1 | MSE | 13.4209082921 | PSNR | 36.8529845212037 | SSMI | 0.954827840816 | Delta_E | 0.79756013748
[2021-09-02 17:49:56,704] A: 020015_002, B: 020015_002_1 | MSE | 8.55636469523 | PSNR | 38.807910737773256 | SSMI | 0.96129136508 | Delta_E | 0.584256586058
[2021-09-02 17:49:58,002] A: 020015_003, B: 020015_003_1 | MSE | 11.8035634359 | PSNR | 37.4106722246779 | SSMI | 0.94979879894 | Delta_E | 0.664387752234
[2021-09-02 17:49:59,296] A: 020015_004, B: 020015_004_1 | MSE | 6.94305674235 | PSNR | 39.715296463114996 | SSMI | 0.971957116576 | Delta_E | 0.553973850841
[2021-09-02 17:50:00,586] A: 020016_001, B: 020016_001_1 | MSE | 7.54002126058 | PSNR | 39.35707790417326 | SSMI | 0.969397397735 | Delta_E | 0.593107855124
[2021-09-02 17:50:01,884] A: 020016_002, B: 020016_002_1 | MSE | 5.43155733744 | PSNR | 40.78155992404647 | SSMI | 0.972577087936 | Delta_E | 0.474374930289
